name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Furyblade Vampire",2,"Creature - Vampire Berserker",R,"inr","155",uncommon,Red,Not Owned,,false,,,"","",135712
"Heartfire Immolator",2,"Creature - Human Wizard",R,"fdn","201",uncommon,Red,Not Owned,,false,,,"","",133428
"Kargan Dragonrider",2,"Creature - Human Warrior",R,"fdn","541",common,Red,Not Owned,,false,,,"","",134854
"Lambholt Harrier",2,"Creature - Wolf",R,"mid","145",common,Red,Not Owned,,false,,,"","",93262
"Lightning Mauler",2,"Creature - Human Berserker",R,"inr","399",uncommon,Red,Not Owned,,false,,,"","",135084
"Swab Goblin",2,"Creature - Goblin Pirate",R,"fdn","548",common,Red,Not Owned,,false,,,"","",134868
"Bloodmad Vampire",3,"Creature - Vampire Berserker",R,"inr","145",common,Red,Not Owned,,false,,,"","",135690
"Conduit of Storms",3,"Creature - Werewolf Horror",R,"inr","150",common,Red,Not Owned,,false,,,"","",135700
"Firespitter Whelp",3,"Creature - Dragon",R,"fdn","197",uncommon,Red,Not Owned,,false,,,"","",133420
"Goblin Boarders",3,"Creature - Goblin Pirate",R,"fdn","87",common,Red,Not Owned,,false,,,"","",133742
"Goblin Smuggler",3,"Creature - Goblin Rogue",R,"fdn","540",common,Red,Not Owned,,false,,,"","",134852
"Hanweir Watchkeep",3,"Creature - Human Warrior Werewolf",R,"inr","158",common,Red,Not Owned,,false,,,"","",135720
"Harvesttide Infiltrator",3,"Creature - Human Werewolf",R,"mid","293",common,Red,Not Owned,,false,,,"","",
"Harvesttide Infiltrator",3,"Creature - Human Werewolf",R,"mid","293",common,Red,Not Owned,,false,,,"","",
"Raging Redcap",3,"Creature - Goblin Knight",R,"fdn","543",common,Red,Not Owned,,false,,,"","",134858
"Battle-Rattle Shaman",4,"Creature - Goblin Shaman",R,"fdn","533",uncommon,Red,Not Owned,,false,,,"","",134838
"Famished Foragers",4,"Creature - Vampire",R,"mid","138",common,Red,Not Owned,,false,,,"","",93242
"Skyraker Giant",4,"Creature - Giant",R,"fdn","547",common,Red,Not Owned,,false,,,"","",134866
"Spitfire Lagac",4,"Creature - Lizard",R,"fdn","208",common,Red,Not Owned,,false,,,"","",133442
"Tavern Ruffian",4,"Creature - Human Warrior Werewolf",R,"mid","163",common,Red,Not Owned,,false,,,"","",93304
"Voldaren Duelist",4,"Creature - Vampire Warrior",R,"inr","181",common,Red,Not Owned,,false,,,"","",135774
"Volley Veteran",4,"Creature - Goblin Warrior",R,"fdn","550",uncommon,Red,Not Owned,,false,,,"","",134872
"Fire Elemental",5,"Creature - Elemental",R,"fdn","538",common,Red,Not Owned,,false,,,"","",134848
"Rapacious Dragon",5,"Creature - Dragon",R,"fdn","544",common,Red,Not Owned,,false,,,"","",134860
"Kindled Fury",1,"Instant",R,"fdn","542",common,Red,Not Owned,,false,,,"","",134856
"Lightning Axe",1,"Instant",R,"inr","162",uncommon,Red,Not Owned,,false,,,"","",135732
"Abrade",2,"Instant",R,"inr","311",common,Red,Not Owned,,false,,,"","",135334
"Abrade",2,"Instant",R,"inr","311",common,Red,Not Owned,,false,,,"","",135334
"Scorching Dragonfire",2,"Instant",R,"fdn","545",common,Red,Not Owned,,false,,,"","",134862
"Stolen Vitality",2,"Instant",R,"mid","161",common,Red,Not Owned,,false,,,"","",93300
"Sure Strike",2,"Instant",R,"fdn","209",common,Red,Not Owned,,false,,,"","",133444
"Fiery Annihilation",3,"Instant",R,"fdn","86",uncommon,Red,Not Owned,,false,,,"","",133740
"Neonate's Rush",3,"Instant",R,"inr","166",common,Red,Not Owned,,false,,,"","",135740
"Savage Alliance",3,"Instant",R,"inr","169",uncommon,Red,Not Owned,,false,,,"","",135746
"Uncaged Fury",3,"Instant",R,"inr","177",uncommon,Red,Not Owned,,false,,,"","",135764
"Ancestral Anger",1,"Sorcery",R,"inr","394",common,Red,Not Owned,,false,,,"","",135074
"Ancestral Anger",1,"Sorcery",R,"inr","394",common,Red,Not Owned,,false,,,"","",135074
"Ancestral Anger",1,"Sorcery",R,"inr","394",common,Red,Not Owned,,false,,,"","",135074
"Dragon Fodder",2,"Sorcery",R,"fdn","535",common,Red,Not Owned,,false,,,"","",134842
"Seize the Spoils",3,"Sorcery",R,"fdn","546",common,Red,Not Owned,,false,,,"","",134864
"Alchemist's Greeting",5,"Sorcery",R,"inr","393",common,Red,Not Owned,,false,,,"","",135072
"Incinerating Blast",5,"Sorcery",R,"fdn","90",common,Red,Not Owned,,false,,,"","",133748
"Seize the Storm",5,"Sorcery",R,"inr","401",common,Red,Not Owned,,false,,,"","",135088
"Carnelian Orb of Dragonkind",3,"Artifact",R,"fdn","534",common,Red,Not Owned,,false,,,"","",134840
"Goblin Oriflamme",2,"Enchantment",R,"fdn","539",uncommon,Red,Not Owned,,false,,,"","",134850
"Burning Vengeance",3,"Enchantment",R,"inr","147",uncommon,Red,Not Owned,,false,,,"","",135694
"Llanowar Elves",1,"Creature - Elf Druid",G,"fdn","227",common,Green,Not Owned,,false,,,"","",133480
"Mild-Mannered Librarian",1,"Creature - Human",G,"fdn","228",uncommon,Green,Not Owned,,false,,,"","",133482
"Snarling Wolf",1,"Creature - Wolf",G,"mid","199",common,Green,Not Owned,,false,,,"","",93390
"Wildwood Scourge",1,"Creature - Hydra",G,"fdn","236",uncommon,Green,Not Owned,,false,,,"","",133498
"Ambush Viper",2,"Creature - Snake",G,"inr","186",common,Green,Not Owned,,false,,,"","",135784
"Bear Cub",2,"Creature - Bear",G,"fdn","552",common,Green,Not Owned,,false,,,"","",134876
"Dawnhart Disciple",2,"Creature - Human Warlock",G,"inr","191",common,Green,Not Owned,,false,,,"","",135794
"Druid of the Cowl",2,"Creature - Elf Druid",G,"fdn","554",common,Green,Not Owned,,false,,,"","",134880
"Duskwatch Recruiter",2,"Creature - Human Warrior Werewolf",G,"inr","467",uncommon,Green,Not Owned,,false,,,"","",135270
"Dwynen's Elite",2,"Creature - Elf Warrior",G,"fdn","218",common,Green,Not Owned,,false,,,"","",133462
"Hinterland Logger",2,"Creature - Human Werewolf",G,"inr","203",common,Green,Not Owned,,false,,,"","",135822
"Noose Constrictor",2,"Creature - Snake",G,"inr","210",uncommon,Green,Not Owned,,false,,,"","",135840
"Pestilent Wolf",2,"Creature - Wolf",G,"mid","192",common,Green,Not Owned,,false,,,"","",93376
"Scorned Villager",2,"Creature - Human Werewolf",G,"inr","468",common,Green,Not Owned,,false,,,"","",135274
"Thornweald Archer",2,"Creature - Elf Archer",G,"fdn","559",common,Green,Not Owned,,false,,,"","",134890
"Wary Thespian",2,"Creature - Cat Druid",G,"fdn","235",common,Green,Not Owned,,false,,,"","",133496
"Beast-Kin Ranger",3,"Creature - Elf Ranger",G,"fdn","100",common,Green,Not Owned,,false,,,"","",133768
"Bird Admirer",3,"Creature - Human Archer Werewolf",G,"mid","169",common,Green,Not Owned,,false,,,"","",93320
"Bounding Wolf",3,"Creature - Wolf",G,"mid","170",common,Green,Not Owned,,false,,,"","",93324
"Bounding Wolf",3,"Creature - Wolf",G,"mid","170",common,Green,Not Owned,,false,,,"","",93324
"Shrill Howler",3,"Creature - Werewolf Horror",G,"inr","469",uncommon,Green,Not Owned,,false,,,"","",135278
"Spore Crawler",3,"Creature - Fungus",G,"inr","218",common,Green,Not Owned,,false,,,"","",135860
"Thrashing Brontodon",3,"Creature - Dinosaur",G,"fdn","560",uncommon,Green,Not Owned,,false,,,"","",134892
"Villagers of Estwald",3,"Creature - Human Werewolf",G,"inr","224",common,Green,Not Owned,,false,,,"","",135872
"Cackling Prowler",4,"Creature - Hyena Rogue",G,"fdn","101",common,Green,Not Owned,,false,,,"","",133770
"Dawnhart Rejuvenator",4,"Creature - Human Warlock",G,"mid","301",common,Green,Not Owned,,false,,,"","",
"Elvish Regrower",4,"Creature - Elf Druid",G,"fdn","104",uncommon,Green,Not Owned,,false,,,"","",133776
